Cell_Line,Vemurafenib,Cobimetinib,DOX,Time_Drug,Time_DOX,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375_NRAS_Q61K_DOXind,-1,0,0,24,24,1,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.082397331,1.132969435,1.018674589,0.74100866,0.383602943,0.138779862,0.073569998,0.061184844,0.058636851,0.030034169,0.010959787,0.008406156,0.00897166,0.021572042,0.007710058,0.001547656,0.000233509,0.004933988
A375_NRAS_Q61K_DOXind,-1,0,1000,24,24,1,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.518087723,1.517889119,1.479253143,1.547253664,1.618440609,1.47757557,1.75426435,1.255326313,1.246529347,0.003428529,0.090441112,0.084402466,0.09564944,0.212660828,0.061189311,0.11854873,0.026127524,0.093565868
A375_NRAS_Q61K_DOXind,0,-1,0,24,24,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.055826878,1.054218774,0.8456986,0.368479818,0.10519887,0.049286166,0.035226102,0.027669062,0.02518273,0.022181312,0.002434246,0.023521107,0.01076247,0.008030572,0.001308059,0.001595875,0.000858049,0.002364553
A375_NRAS_Q61K_DOXind,0,-1,1000,24,24,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.517440404,1.611361606,1.531524475,1.474188971,1.428964672,1.078586595,0.540192465,0.11101246,0.042042107,0.095818512,0.085514753,0.018846879,0.052486929,0.180858386,0.115907293,0.062871059,0.01242962,0.003533256
A375_NRAS_Q61K_DOXind,1,-1,0,24,24,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.079370344,0.07390596,0.066261593,0.056996314,0.04210728,0.03805196,0.030949991,0.028843976,0.026774754,0.006573933,0.006205082,0.000455878,0.003170239,0.000825459,0.000863681,3.71E-05,0.001530318,0.003197456
A375_NRAS_Q61K_DOXind,1,-1,1000,24,24,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.498709795,1.555730342,1.602435725,1.484485144,1.339613554,0.895314561,0.326855861,0.077219688,0.03839701,0.027295463,0.044649435,0.026597797,0.031146265,0.108138793,0.029580552,0.04948103,0.004540336,0.000899102
A375_NRAS_Q61K_DOXind,-1,0,0,24,8,0,1,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.990038811,1.01530995,0.997738283,0.864032669,0.578776139,0.246538298,0.127656792,0.152946639,0.1336841,0.055879935,0.153074858,0.002924952,0.003477112,0.031334037,0.042180378,0.049123972,0.053446081,0.029590793
A375_NRAS_Q61K_DOXind,-1,0,1000,24,8,0,1,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.434601248,1.315669386,1.34892248,1.461501048,1.537764665,1.379369688,1.46931813,1.452145607,1.111425441,0.011322496,0.099783385,0.111254507,0.074125967,0.171759625,0.036617116,0.01747643,0.066171893,0.131044636
A375_NRAS_Q61K_DOXind,0,-1,0,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.03723483,0.986460823,0.835584186,0.489360667,0.221480591,0.143369288,0.121564642,0.136824325,0.10240495,0.036127955,0.048877607,0.015164573,0.007450274,0.027631211,0.028451563,0.044449239,0.03616648,0.051675878
A375_NRAS_Q61K_DOXind,0,-1,1000,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.471129288,1.42413089,1.330666654,1.396275241,1.315678467,1.125829239,0.950171642,0.632207802,0.439504311,0.091275936,0.011339876,0.028676888,0.079386529,0.041626705,0.036198933,0.13818623,0.087478097,0.051725116
A375_NRAS_Q61K_DOXind,1,-1,0,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.16774545,0.172102221,0.160404835,0.124414037,0.121237421,0.12756722,0.150265214,0.145793778,0.11110387,0.004893522,0.00397224,0.010584014,0.04067772,0.036149532,0.005114361,0.005098918,0.003173069,0.006541045
A375_NRAS_Q61K_DOXind,1,-1,1000,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.326911307,1.401030543,1.441409819,1.328050679,1.274574458,1.1482572,0.91717517,0.554858827,0.398562154,0.154103415,0.061718118,0.024662356,0.070389219,0.089197732,0.088478558,0.066322086,0.00721042,0.065916566
