Cell_Line,Vemurafenib,Dabrafenib,PLX8394,LY3009120,AZ_628,Cobimetinib,Trametinib,Selumetinib,Binimetinib,PD0325901,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,-1,0,0,0,0,0,0,0,0,0,0,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.969789292,0.944606842,0.95951967,0.827326115,0.633229197,0.356973073,0.175810463,0.125036447,0.124408591,0.111796219,0.053893987,0.054480084,0.006182354,0.030328349,0.00818764,0.009934817,0.010893678,0.009442,0.019582003,0.00755599
A375,-1,0,0,0,0,0,0,0,0,0,100,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.919201667,0.897179206,0.919241355,0.968354259,1.004639968,1.424985926,1.578936378,1.646697098,1.658862062,1.883170662,0.008055127,0.021727459,0.02665652,0.047505895,0.038463453,0.178405475,0.144092194,0.1112557,0.079382717,0.141893393
A375,0,-1,0,0,0,0,0,0,0,0,0,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.045480401,1.014772707,0.927160011,0.798181643,0.440534631,0.217753686,0.136209447,0.123239898,0.117507706,0.111118166,0.043272887,0.059302065,0.00738936,0.01569528,0.018666569,0.00588502,0.006505037,0.010494154,0.003933546,0.007862391
A375,0,-1,0,0,0,0,0,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.037275668,1.051816886,1.037644463,1.001297186,1.302177061,1.622202694,1.838385462,1.89067202,1.992995575,2.132571422,0.092487151,0.078097353,0.044939568,0.018896306,0.034159185,0.048543915,0.108352428,0.100515049,0.139224472,0.135019023
A375,0,0,-1,0,0,0,0,0,0,0,0,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.044524087,1.024232965,0.952073295,0.848996845,0.511247188,0.268451962,0.150552851,0.120132416,0.108475312,0.103088183,0.001498254,0.015779738,0.004668243,0.033475999,0.004376468,0.008206932,0.004526592,0.004652182,0.006704611,0.005369326
A375,0,0,-1,0,0,0,0,0,0,0,100,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.102156428,1.063851672,1.035972734,1.052486562,1.331048966,1.655200288,1.823357515,1.846643831,1.938858073,2.038626538,0.102993977,0.122219506,0.133784056,0.154943967,0.121204431,0.075879072,0.066384809,0.056590052,0.022139503,0.152760423
A375,0,0,0,-1,0,0,0,0,0,0,0,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.007110398,1.002507135,0.966547542,0.785263509,0.46656201,0.225530516,0.131367414,0.119236838,0.114989599,0.107881804,0.046228511,0.068583823,0.063235093,0.016161064,0.017022409,0.014266009,0.004552484,0.002859887,0.015969858,0.005578413
A375,0,0,0,-1,0,0,0,0,0,0,100,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.005255838,1.010109614,1.015226197,1.114382716,1.390450991,1.724523653,1.673735832,1.69668771,1.818703571,1.826054499,0.102708156,0.083489441,0.091845007,0.056157836,0.103433044,0.024652699,0.031588362,0.065981436,0.104594711,0.161701165
A375,0,0,0,0,-1,0,0,0,0,0,0,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,1.026988158,1.03240067,1.019421746,0.870906941,0.562928118,0.241649504,0.137087957,0.113091957,0.105286022,0.104902489,0.007523102,0.021046626,0.027044123,0.028163953,0.041025143,0.006456014,0.002170767,0.006354125,0.00575386,0.002665995
A375,0,0,0,0,-1,0,0,0,0,0,100,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,1.136065307,1.128272073,1.139610353,1.248193782,1.527574533,1.790557303,1.761548701,1.788492992,1.784822192,1.801158769,0.135484163,0.147200415,0.177120711,0.150623358,0.075147959,0.028413309,0.030225136,0.152627274,0.052487753,0.100764791
