Cell_Line,Vemurafenib,Dabrafenib,LY3009120,PLX8394,Trametinib,Cobimetinib,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375_Cra_F7_5/13,-1,0,0,0,0,0,0,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.904677473,0.867229453,0.853399469,0.772009596,0.549076198,0.302543723,0.200882417,0.149110549,0.125008575,0.103539023,0.115918496,0.050676473,0.001100341,0.04874342,0.050179223,0.014642731,0.033713776,0.039840946,0.029526822,0.015487917
A375_Cra_F7_5/13,-1,0,0,0,0,0,100,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.925694683,0.931540076,0.937268008,0.896716,0.794835402,0.666652142,0.563206749,0.567385093,0.523249144,0.54010585,0.040054288,0.039935182,0.024975895,0.017083498,0.021792132,0.019758315,0.004000892,0.041885785,0.010549121,0.050777403
A375_Cra_F7_5/13,0,-1,0,0,0,0,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.900775995,0.874193915,0.839940135,0.646023189,0.391613079,0.231693404,0.153017696,0.132470529,0.117846493,0.107265927,0.063141099,0.045663149,0.007135224,0.037381345,0.00915132,0.025852581,0.019863072,0.026952012,0.014497057,0.002944271
A375_Cra_F7_5/13,0,-1,0,0,0,0,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.95111352,0.9168745,0.922857963,0.852446122,0.712689465,0.621331338,0.587927742,0.583843522,0.575894475,0.580759521,0.007395083,0.017737612,0.010917607,0.029100552,0.015568159,0.014241612,0.027628925,0.025522018,0.015892166,0.009987665
A375_Cra_F7_5/13,0,0,-1,0,0,0,0,24,8,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,0.958841277,0.909182999,0.862358286,0.660204694,0.310810988,0.118506989,0.07856708,0.071446862,0.070010695,0.07342249,0.062778747,0.055738372,0.030409797,0.057193309,0.000763042,0.002662084,0.000444747,0.001590593,0.000204001,0.002039419
A375_Cra_F7_5/13,0,0,-1,0,0,0,100,24,8,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,1.028463182,1.047893392,0.967604181,0.815054458,0.62001611,0.426100011,0.279306033,0.169025882,0.092453878,0.075877409,0.050468169,0.108124133,0.102403135,0.055033788,0.052488877,0.033465488,0.013952533,0.001880927,0.000291136,0.00087674
A375_Cra_F7_5/13,0,0,0,-1,0,0,0,24,8,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,0.990350686,0.98636203,0.870718125,0.691239721,0.356681772,0.174218521,0.110725775,0.093689101,0.094229308,0.094546466,0.032473406,0.02261164,0.007021043,0.029988377,0.011240621,0.012302899,0.000162907,0.001804232,0.005842402,0.011955478
A375_Cra_F7_5/13,0,0,0,-1,0,0,100,24,8,1,0,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,1.000624462,1.017636655,0.994513451,0.908974333,0.745210787,0.642105203,0.59010365,0.560988728,0.563263373,0.568410658,0.073686693,0.078265391,0.055836641,0.035397304,0.000756634,0.018968616,0.018475398,0.030150262,0.023180996,0.036302408
A375_Cra_F7_5/13,0,0,0,0,-1,0,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.002637725,0.932878392,0.740356324,0.333368528,0.115022963,0.079450553,0.071073573,0.067720324,0.068066541,0.071922971,0.164304699,0.199295119,0.114585881,0.037876326,0.008452708,0.002688087,0.001839609,0.001217475,0.001240011,0.003111378
A375_Cra_F7_5/13,0,0,0,0,-1,0,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.01346899,0.987572586,0.895391238,0.755326687,0.61160759,0.543990167,0.400975955,0.225795406,0.114118703,0.082843893,0.100033786,0.181964799,0.145112267,0.143040576,0.108213475,0.095525461,0.097287544,0.034289068,0.011915512,0.004631388
A375_Cra_F7_5/13,0,0,0,0,0,-1,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.031037613,0.972785058,0.890545482,0.712110603,0.349795728,0.126498948,0.08001153,0.071525663,0.069801181,0.07141155,0.030619319,0.000452209,0.033455746,0.014952098,0.007198884,0.003872294,0.00927736,0.010917493,0.009524766,0.009732139
