Cell_Line,Vemurafenib,Cobimetinib,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,-1,0,0,24,0.083,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.9754912,0.995904061,0.938804777,0.812697854,0.539334403,0.256098769,0.173176662,0.152220232,0.147881754,0.140712042,0.015718891,0.025209548,0.012536998,0.028792017,0.055016608,0.012357122,0.017218468,0.002258186,0.000649899,0.003016986
A375,-1,0,0,24,0.5,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.986265871,0.964694048,0.89148922,0.774356302,0.514560301,0.238696766,0.162812024,0.1478257,0.149005535,0.146760918,0.044101877,0.032591812,0.033189411,0.044606558,0.015969735,0.013933817,0.003976327,0.001314144,0.00017698,0.003712183
A375,-1,0,0,24,2,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.961118808,0.964951904,0.948491875,0.814639307,0.506261894,0.235100828,0.15233997,0.136820703,0.133397045,0.131448437,0.004471634,0.010972045,0.028302398,0.000838273,0.020921302,0.000526526,0.000235586,0.001747443,0.000914832,0.0024872
A375,-1,0,0,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.997900665,0.980895261,0.930562857,0.793815248,0.516225406,0.204712166,0.134316417,0.120397565,0.119126467,0.113876292,0.023486652,0.026604344,0.016289136,0.006857501,0.026551693,0.001828852,0.004557979,0.00136019,0.0033832,0.000322778
A375,-1,0,0,24,24,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.95984099,0.988679229,0.971473655,0.808938759,0.505515523,0.154312088,0.114977793,0.112905893,0.113522293,0.118875845,0.041175197,0.01334056,0.004279138,0.027822827,0.026737584,0.013050814,0.002972245,0.003418203,0.003696831,0.000668099
A375,-1,0,100,24,0.083,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.176009136,1.158392396,1.133640261,1.163039312,1.387319247,1.608395882,1.583600056,1.623407962,1.69340597,1.873757966,0.009898966,0.010387461,0.055682498,0.026523569,0.054140572,0.077546968,0.031634684,0.010920721,0.080166646,0.034049069
A375,-1,0,100,24,0.5,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.041390981,1.029288586,1.01512822,1.006898449,1.025223855,1.042924997,0.941795723,0.644486799,0.48411617,0.451359366,0.024190501,0.034178537,0.011003817,0.021676155,0.01771764,0.024185497,0.093321138,0.025121647,0.001276992,0.003663387
A375,-1,0,100,24,2,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.956334317,0.954796648,0.929454792,0.872252423,0.699503538,0.424304786,0.262044627,0.191812872,0.155195047,0.140307628,0.01157486,0.073022008,0.036339415,0.03507228,0.007173324,0.012160418,0.003293111,0.008171141,0.001577349,0.000559873
A375,-1,0,100,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.975935917,0.984558269,0.987182358,0.88056521,0.749056806,0.497223422,0.222483625,0.16022061,0.140587533,0.132309014,0.018427037,0.027460885,0.005997219,0.005735056,0.008059407,0.017630349,0.003492531,0.002815737,9.65056E-06,0.000121348
A375,-1,0,100,24,24,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.859375099,0.889863265,0.889331706,0.783326281,0.623104046,0.292838573,0.1453267,0.12112792,0.112345203,0.112318266,0.008380686,0.025081557,0.04825186,0.01506676,0.001894891,0.024162383,0.002232964,0.002171852,0.003321813,0.00250292
A375,0,-1,0,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.964562396,0.957875375,0.873209449,0.658360549,0.312890061,0.160363987,0.137914719,0.129936976,0.126432384,0.126334894,0.017962383,0.002801208,0.041278128,0.028185321,0.007132039,0.00317509,0.001140101,0.002622161,0.000218601,0.00090624
A375,0,-1,0,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.999828142,0.957657242,0.894374308,0.67889331,0.306043185,0.156540665,0.135034203,0.128316415,0.126186292,0.125930057,0.007238511,0.029028689,0.007988769,0.009760074,0.012715657,0.002045147,0.001334225,0.000772467,0.000248798,0.001279419
A375,0,-1,0,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.961324619,0.95814243,0.903827709,0.746040756,0.357876237,0.152257031,0.13108964,0.124530574,0.123499968,0.123546153,0.032847462,0.053528865,0.013693422,0.025021604,0.056499301,0.007319715,0.000151421,0.000406117,0.000318029,0.000613491
A375,0,-1,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.973315993,0.972032199,0.92967865,0.750666179,0.312276994,0.131673253,0.113526791,0.113177148,0.105013381,0.104644302,0.00059943,0.019634704,0.010909503,0.005653126,0.032317574,0.002264202,0.001027689,0.004265013,0.001177058,0.000650592
A375,0,-1,0,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.962432982,0.985344003,0.951724358,0.816926178,0.399404836,0.112929914,0.101891927,0.103070977,0.102089334,0.098171568,0.020665337,0.084643436,0.036842476,0.045353773,0.057458558,0.000644456,7.84733E-06,0.001524993,0.000519942,0.001337199
A375,0,-1,100,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.185275953,1.195414236,1.132793522,1.179695236,1.385075531,1.404206882,1.374790476,1.038718197,0.268381976,0.134195092,0.033179759,0.039550686,0.008125421,0.004746718,0.056998618,0.028000864,0.015209789,0.030377772,0.021847851,0.001397549
A375,0,-1,100,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.026650891,1.030005874,0.953796001,0.88735401,0.782378446,0.594301893,0.410620007,0.333233242,0.336403417,0.144092539,0.056760209,0.004995645,0.001785693,0.012945012,0.023601416,0.017418146,0.01460966,0.008301949,0.007268973,0.002186649
A375,0,-1,100,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.959194003,0.964722315,0.890929228,0.781904769,0.424134951,0.175659016,0.136439994,0.127092929,0.123351775,0.122845518,0.027548385,0.052365122,0.015170719,0.012994609,0.00240111,0.002996353,0.001558076,0.000326591,0.000852601,0.00010922
A375,0,-1,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.945809445,0.972901867,0.909334323,0.786219241,0.487303066,0.168054433,0.124233172,0.114111641,0.106454781,0.103873084,0.015678407,0.000127347,0.046151771,0.042173632,0.035996574,0.011841276,0.001840447,0.002392657,0.000158014,0.000167517
A375,0,-1,100,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.860697806,0.896819223,0.853994618,0.773381941,0.517760982,0.128377372,0.107065776,0.104833987,0.10400012,0.09780249,0.006661692,0.03997668,0.023448359,0.00805726,0.007047788,0.005320785,0.000160698,0.000748763,0.00094739,0.000896883
A375,1,-1,0,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.149649715,0.149281156,0.150941577,0.145562907,0.140449181,0.133334763,0.127849465,0.126051258,0.126377038,0.128040351,0.00093492,0.001476993,0.002334306,0.000822487,0.002630537,0.000173375,0.000361653,0.000457163,0.000946552,0.00036227
A375,1,-1,0,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.147397143,0.146075439,0.146454134,0.14428608,0.138180691,0.135287542,0.129707576,0.127353362,0.125748287,0.126826136,0.001448875,0.0003011,0.000237448,0.001689228,0.003269311,0.000531352,0.000152704,0.001222565,5.06432E-05,0.001035729
A375,1,-1,0,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.139215499,0.13743025,0.13982161,0.135985528,0.131449637,0.130830628,0.125618658,0.123109408,0.1227442,0.123692117,0.002448069,0.000263991,0.000938246,0.001534356,0.001128097,0.005409389,0.000435787,9.6718E-05,0.000112904,0.000347642
A375,1,-1,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.120143191,0.12063153,0.119100212,0.122016932,0.113659804,0.112526962,0.107050965,0.104572346,0.104188913,0.104601321,0.001348789,0.00023081,0.000305628,0.006612286,0.000944172,0.003177623,1.08637E-05,0.000269028,0.000201875,0.000500659
