,,,Mean RPM Vemurafenib dose-response 24 hrs,,,,,,,,,Std RPM Vemurafenib dose-response 24 hrs,,,,,,,
,,,Vemurafenib (uM),,,,,,,,,Vemurafenib (uM),,,,,,,
ENSEMBL ID,Gene Name,,0,0.001,0.01,0.0316,0.1,0.316,1,10,,0,0.001,0.01,0.0316,0.1,0.316,1,10
ENSG00000279457,FO538757.1,,1.3286,1.1963,1.835,1.4822,2.0065,2.3137,2.2875,2.8759,,0.49051,0.16912,0.59082,0.45686,0.59217,0.14927,0.1802,0.50176
ENSG00000228463,AP006222.1,,0.24168,0.35823,0.33422,0.16438,0.25062,0.23965,0.42197,0.49411,,0.11874,0.11207,0.16053,0.25491,0.1544,0.19226,0.25392,0.034576
ENSG00000237094,AL732372.2,,0.44822,0.55118,0.78291,0.83341,0.73143,0.91894,0.82034,0.46869,,0.14013,0.288,0.34296,0.40767,0.30056,0.38131,0.37383,0.053008
ENSG00000230021,AL669831.3,,0.50463,0.22716,0.21351,0.38796,0.2809,0.57151,0.75913,0.38501,,0.16975,0.17137,0.1017,0.23002,0.14529,0.14756,0.2825,0.25598
ENSG00000225630,MTND2P28,,195.8346,193.0786,199.5906,187.9554,154.7519,151.1756,151.093,166.2169,,16.5942,19.064,4.5378,6.9522,8.9848,8.0659,4.0589,5.7468
ENSG00000237973,MTCO1P12,,24.9101,23.9608,28.9151,34.6003,37.5596,41.2396,48.1729,50.9642,,3.2163,3.0674,3.3899,7.5385,3.1381,6.7435,4.7241,4.6259
ENSG00000229344,MTCO2P12,,0.5896,0.43338,0.61755,0.74839,0.76405,1.114,1.1839,1.0667,,0.19922,0.29945,0.21173,0.5751,0.29206,0.29453,0.50106,0.15556
ENSG00000248527,MTATP6P1,,340.8403,337.2234,384.9399,451.3572,421.585,420.3419,431.1047,431.5269,,18.3726,29.9966,13.4377,14.3326,45.7617,25.7956,13.8408,5.876
ENSG00000198744,MTCO3P12,,0.6696,0.99173,0.98579,1.0578,0.99692,0.75039,0.94848,1.1135,,0.22946,0.54449,0.29262,0.38739,0.23598,0.17702,0.52653,0.44407
ENSG00000228327,AL669831.1,,2.2653,2.8655,3.0604,3.7966,4.1142,4.962,3.9478,3.8303,,0.44226,0.46198,1.0022,0.92842,0.71567,1.19,0.9334,0.86025
ENSG00000237491,AL669831.5,,1.5161,1.442,1.8833,2.7682,3.418,3.2689,2.9888,3.127,,0.17415,0.43054,0.33376,0.34017,1.5511,0.58503,0.64686,0.11828
ENSG00000230092,AL669831.4,,0.26472,0.29804,0.54233,0.32214,0.79938,0.57019,0.55504,0.54852,,0.25269,0.16789,0.24694,0.18527,0.5269,0.29078,0.17713,0.1025
ENSG00000228794,LINC01128,,20.1913,18.6512,18.6951,15.4742,12.1958,13.6753,14.0308,21.6111,,1.5545,1.8254,0.76435,1.1316,1.4101,1.3809,1.2347,1.8345
ENSG00000225880,LINC00115,,0.97474,0.68805,0.82547,0.54042,1.0164,1.0254,0.70652,1.1571,,0.34881,0.1079,0.26553,0.35076,0.61074,0.11376,0.45917,0.28317
ENSG00000272438,AL645608.7,,0.17544,0.25581,0.46306,0.46566,0.6945,0.55327,0.87162,0.74543,,0.15872,0.06679,0.17616,0.14501,0.36209,0.36176,0.5009,0.32799
ENSG00000230699,AL645608.3,,0.86547,1.158,1.5745,1.8089,2.7337,3.7313,4.9774,7.1836,,0.1013,0.60042,0.36403,0.45515,0.66043,1.0902,1.2517,1.0501
ENSG00000223764,AL645608.1,,0.075089,0.074463,0.23797,0.92948,2.4004,3.9573,6.1961,8.9877,,0.050231,0.093265,0.19314,0.56144,1.2264,1.2524,0.59833,2.2087
ENSG00000187634,SAMD11,,0.54106,0.40336,1.3991,4.6313,9.9557,13.6686,19.818,22.9687,,0.27148,0.15133,0.36531,1.5422,1.2648,2.3583,1.9067,1.8094
ENSG00000188976,NOC2L,,345.0635,332.2487,289.1752,223.8967,175.8558,155.0804,153.3636,180.0759,,18.7784,5.9698,13.7165,8.3797,4.2852,4.9093,4.2652,8.7667
ENSG00000187961,KLHL17,,15.3478,18.5875,17.1133,15.2074,17.8274,19.33,20.1764,20.2902,,2.7867,2.3939,1.4742,2.3475,2.5469,2.8708,1.0678,1.4516
ENSG00000187583,PLEKHN1,,2.5381,2.4579,2.2343,2.3339,2.105,3.1931,2.3578,2.3102,,0.3434,0.11212,0.52512,0.99399,0.53624,0.37587,0.59427,1.2282
ENSG00000188290,HES4,,0.20994,0.15408,0.24195,0.27947,0.14353,0.14673,0.1221,0.42756,,0.18339,0.13239,0.24397,0.27386,0.10937,0.11616,0.10416,0.4274
ENSG00000187608,ISG15,,3.0802,3.1898,3.9708,6.3073,7.1779,8.6635,8.7484,9.9583,,0.76591,0.52361,0.62892,1.0905,1.1452,1.1281,0.55112,0.62818
ENSG00000188157,AGRN,,201.4216,199.1298,205.7052,242.1767,279.9959,342.2192,388.285,434.1581,,22.7167,14.4572,22.0844,25.0978,26.1359,46.5886,9.6716,9.2296
ENSG00000217801,AL390719.1,,4.5741,4.7327,4.1616,3.3615,2.9492,3.041,4.001,7.339,,0.6181,0.67784,0.61801,0.36435,0.64761,0.72384,0.80115,1.7553
ENSG00000273443,AL645608.9,,0.35684,0.59929,0.22508,0.3962,0.1336,0.38432,0.3688,0.52424,,0.24976,0.33003,0.13263,0.1864,0.15549,0.11104,0.16769,0.42567
ENSG00000131591,C1orf159,,12.6999,12.168,11.9036,9.579,8.2762,7.4191,7.9947,8.3234,,1.5594,0.84492,0.56795,1.4389,1.3753,1.2975,1.269,0.7952
ENSG00000078808,SDF4,,118.0898,116.3584,111.7734,114.5154,118.565,117.688,123.4911,130.7469,,7.9659,7.1714,11.9221,9.9916,3.2509,8.6779,4.6848,8.0264
ENSG00000176022,B3GALT6,,36.7102,33.5295,33.8705,28.7418,25.8989,25.1642,25.9076,30.9118,,2.418,3.1008,3.1624,4.7157,1.392,1.6711,3.3447,1.3862
ENSG00000184163,C1QTNF12,,0.84824,0.69925,1.052,1.1395,1.9476,2.2302,2.7726,2.0086,,0.30015,0.26079,0.50359,0.2748,0.61173,0.43804,0.52871,0.56031
ENSG00000260179,AL162741.1,,0.61232,0.65649,0.57594,0.64027,0.83235,1.122,0.9326,1.0085,,0.23537,0.35784,0.27287,0.30669,0.40467,0.21037,0.40199,0.40713
ENSG00000160087,UBE2J2,,69.8593,66.7439,63.4616,56.2793,48.3751,49.502,51.2457,56.4171,,8.0532,6.5207,4.4416,5.0981,2.2265,3.9304,2.2497,2.6939
ENSG00000230415,LINC01786,,0.21726,0.32826,0.43892,0.58919,0.84359,1.2367,0.61012,0.98003,,0.11037,0.089363,0.16135,0.12767,0.42436,0.4314,0.27285,0.090004
ENSG00000162572,SCNN1D,,1.8776,2.0734,2.9568,4.7418,6.4286,8.2447,8.2188,9.5609,,0.46251,0.7247,0.55491,0.85542,1.6518,1.0773,1.5392,0.99962
ENSG00000131584,ACAP3,,74.2102,78.1304,74.1082,73.6227,72.4219,79.2859,87.977,105.101,,9.4423,5.0587,9.3856,8.8085,11.2311,6.5215,8.0359,5.2433
ENSG00000169972,PUSL1,,18.6601,16.4266,17.8163,14.2254,12.9139,12.9295,13.0492,16.1246,,2.5142,2.0876,3.0045,1.4489,1.0921,0.6369,0.61401,0.8827
ENSG00000127054,INTS11,,86.8229,84.8701,85.4958,85.2211,88.2573,91.4267,95.9319,106.0316,,3.5498,5.7491,4.5776,6.4771,11.4852,6.6128,4.728,2.9287
ENSG00000240731,AL139287.1,,1.9349,2.8009,2.1085,2.7875,3.1859,4.0881,3.4123,4.0559,,0.89447,0.35635,0.76957,0.34941,0.99715,0.76438,0.56214,0.8858
ENSG00000224051,CPTP,,20.2713,18.1026,18.031,20.3589,19.142,21.3212,23.4774,31.5658,,1.6805,2.6082,1.8619,3.8493,1.1366,1.3652,0.15768,4.8356
ENSG00000169962,TAS1R3,,0.35921,0.18382,0.23937,0.53082,1.0591,1.1927,1.4069,1.6794,,0.21314,0.13749,0.25605,0.11441,0.54392,0.24838,0.45763,0.51419
ENSG00000107404,DVL1,,85.5382,81.8664,64.0989,49.7633,41.6749,43.8755,48.5992,59.3889,,7.8859,4.2302,6.1206,3.9014,0.86221,2.515,2.5439,3.4722
ENSG00000162576,MXRA8,,0.23357,0.14778,0.15728,0.26721,0.455,0.66174,0.67953,0.5071,,0.15044,0.122,0.066483,0.29561,0.37551,0.28008,0.29884,0.14437
ENSG00000175756,AURKAIP1,,114.6641,103.2356,98.6959,90.268,77.9353,80.0738,81.1531,84.4486,,17.2296,12.3231,14.4448,5.1552,3.5242,5.1199,3.9145,7.6102
ENSG00000221978,CCNL2,,156.0528,174.8437,202.2635,269.0373,331.2789,387.3477,408.7076,382.0298,,14.508,6.7248,17.5924,37.8106,54.0443,38.9583,28.9172,21.4291
ENSG00000224870,AL391244.1,,21.4201,22.7304,28.6812,42.3765,54.602,62.6768,63.2033,56.994,,1.4254,1.4848,2.6245,6.3016,3.2871,2.8504,3.1177,2.0745
ENSG00000242485,MRPL20,,108.5432,104.5448,99.0021,87.8266,82.5923,78.1096,75.6101,79.8399,,6.84,3.4808,10.1811,3.5704,1.2689,4.769,5.024,4.2559
ENSG00000272455,AL391244.3,,7.4823,9.0141,8.5178,10.6388,10.3588,10.3475,9.802,9.7889,,1.0098,1.5259,0.71139,1.2158,1.7328,0.7474,1.2298,0.55159
ENSG00000235098,ANKRD65,,0.12726,0.079378,0.097309,0.45162,1.1105,2.2333,2.0691,1.614,,0.11719,0.10513,0.065738,0.29317,0.8492,1.2472,0.65761,0.29117
ENSG00000225285,LINC01770,,0.29725,0.7227,0.64043,2.3956,3.3609,5.5729,5.2247,1.8634,,0.13628,0.25876,0.43951,1.0139,1.3706,1.3406,0.53206,0.48038
ENSG00000179403,VWA1,,3.7276,3.3758,3.8385,8.6225,12.361,14.0159,16.6837,9.7867,,1.2138,0.44059,0.43763,2.0451,2.3109,1.5412,1.5072,1.3206
ENSG00000215915,ATAD3C,,0.15999,0.047841,0.088085,0.2196,0.29734,0.2793,0.58704,0.62153,,0.10886,0.095683,0.10922,0.18631,0.23095,0.067787,0.26094,0.258
ENSG00000160072,ATAD3B,,76.6098,77.3734,58.432,33.6827,23.1199,18.9078,17.3807,22.2893,,7.289,5.064,2.6193,2.5911,2.7985,2.2033,3.2522,2.9804
ENSG00000284740,AL645728.2,,0.3389,0.45326,0.50072,0.28509,0.57132,0.4857,0.56529,0.71058,,0.14861,0.23195,0.1725,0.081739,0.35633,0.32165,0.27175,0.14664
ENSG00000197785,ATAD3A,,81.3715,77.6933,67.6131,42.7311,28.9509,25.9256,25.6451,32.7446,,9.9901,3.7463,1.3601,1.9878,1.4397,1.4355,1.6941,1.2886
ENSG00000205090,TMEM240,,0.88572,0.64938,0.56886,0.62988,0.71965,0.61363,0.86252,0.60724,,0.33031,0.2971,0.26984,0.24959,0.23088,0.19283,0.26269,0.30675
ENSG00000160075,SSU72,,128.1871,124.7403,116.0855,110.304,100.7682,98.0451,98.9975,106.2854,,5.3138,4.2096,4.9678,5.4516,5.4723,5.2985,4.6988,5.0033
ENSG00000215014,AL645728.1,,0.32392,0.53063,0.69761,0.63186,0.69856,1.1488,1.0309,0.72591,,0.2373,0.1675,0.28705,0.14031,0.51866,0.31879,0.39271,0.21178
ENSG00000228594,FNDC10,,7.5429,6.4001,6.2955,7.3859,7.799,9.286,11.266,14.8634,,1.4195,0.60339,0.60168,1.5359,1.0795,1.3245,2.473,1.9113
ENSG00000272106,AL691432.2,,2.8734,2.5856,3.5952,5.4835,7.0023,7.2888,8.7088,7.2379,,0.52146,0.42501,1.2544,0.93536,0.88629,1.4601,0.43973,1.1738
ENSG00000197530,MIB2,,27.6816,27.4198,28.9788,40.3262,47.9783,54.0995,59.2383,57.8993,,2.0292,3.3701,4.7625,8.0372,9.2744,9.1522,4.9181,6.2005
ENSG00000248333,CDK11B,,36.8126,38.6307,34.5748,36.1585,39.8216,37.0994,36.452,37.8901,,3.0215,2.3384,1.2365,2.6394,2.19,1.3877,0.45817,1.5451
ENSG00000189339,SLC35E2B,,57.4519,56.3322,70.0089,94.5081,103.3735,117.9719,117.8112,115.4152,,3.1339,2.1024,5.2704,9.4522,6.3015,6.6049,1.8686,5.5881
ENSG00000008128,CDK11A,,2.7259,2.9677,2.8398,3.4159,4.1283,4.8426,4.4042,3.8299,,0.35144,0.07739,0.5296,0.85329,0.56782,0.68591,0.50354,1.0066
ENSG00000268575,AL031282.2,,2.1157,2.0234,3.7614,5.3521,6.8449,7.8347,9.5694,6.9593,,0.71699,0.3539,0.3385,0.97437,0.99565,0.34483,0.91509,1.1828
ENSG00000215790,SLC35E2A,,1.8843,2.087,3.0706,4.731,5.398,6.0566,6.7073,5.9946,,0.67303,0.3538,0.88994,0.62436,0.28537,0.34552,0.83515,0.87024
ENSG00000008130,NADK,,58.3605,59.333,59.365,56.9509,52.3837,54.9306,55.611,59.6702,,2.6618,5.2397,3.6401,3.5939,3.3144,4.0698,1.359,2.8481
ENSG00000078369,GNB1,,419.121,399.2326,371.2689,332.7426,301.7427,289.9367,284.6317,320.084,,4.8626,6.8165,6.5213,5.8296,8.0952,6.4197,3.1456,9.9965
ENSG00000231050,AL109917.1,,0.1037,0.05009,0.11759,0.32413,0.74679,0.90893,0.737,1.0381,,0.14778,0.057955,0.092086,0.18635,0.39338,0.34241,0.55503,0.35315
ENSG00000169885,CALML6,,0.5347,1.0129,0.88609,1.5623,2.6174,3.1694,4.2499,5.3351,,0.2949,0.33815,0.50184,0.50681,0.8756,0.84726,1.0077,1.121
ENSG00000067606,PRKCZ,,19.6097,19.1223,23.2493,27.7888,26.0886,22.4769,19.7033,12.3831,,1.451,1.3269,3.6648,2.1322,0.83751,1.2822,2.6529,1.3301
ENSG00000182873,PRKCZ-AS1,,0.75183,0.71131,0.93086,0.38795,0.62433,0.79317,0.73356,0.78841,,0.13607,0.43558,0.22739,0.33213,0.39302,0.40569,0.33117,0.12112
ENSG00000162585,FAAP20,,39.0065,37.4242,35.7664,36.4955,37.6961,40.3467,40.2968,36.5773,,3.9838,3.844,4.4891,5.6951,3.3823,4.7901,5.442,3.5676
ENSG00000157933,SKI,,111.0254,111.1735,105.8374,94.2818,80.7338,78.3923,76.9316,68.1957,,2.5441,2.0706,8.1585,4.4133,0.38474,3.3113,1.9496,2.8608
ENSG00000116151,MORN1,,14.5069,14.5868,16.5259,17.8767,18.7507,21.5479,18.5655,19.3792,,1.2565,0.80481,1.1049,1.958,2.1431,2.3626,2.4693,1.2431
ENSG00000269896,AL513477.1,,2.3138,2.3084,3.7848,3.981,3.4401,3.6207,2.9074,3.7317,,0.31623,0.59705,0.96223,0.45265,1.0602,0.76786,0.51729,0.54802
ENSG00000272420,AL513477.2,,0.29247,0.33542,0.34344,0.28493,0.34975,0.65773,0.51112,0.38066,,0.24429,0.16117,0.20759,0.080693,0.13904,0.19764,0.52665,0.29545
ENSG00000157916,RER1,,218.9205,216.2303,216.5086,200.8829,197.9538,195.0736,189.5575,200.4765,,7.0699,7.5316,10.5702,10.1865,12.0305,8.527,3.0201,6.6991
ENSG00000157911,PEX10,,20.2725,19.8961,20.0579,23.4886,23.4749,21.3354,24.5456,28.4006,,1.922,1.9402,2.2501,1.8156,1.3269,1.5173,1.02,1.7219
ENSG00000157881,PANK4,,9.0536,8.7736,8.3959,8.6713,8.2734,6.7921,7.182,9.1142,,0.33977,1.2406,1.1669,1.3726,0.94772,1.4615,0.40033,1.6977
ENSG00000157873,TNFRSF14,,0.86329,0.7256,0.92182,2.5573,3.3308,3.3346,3.3582,4.3454,,0.42447,0.30737,0.39584,0.59525,0.5928,1.2032,0.50517,1.4374
ENSG00000157870,FAM213B,,3.5164,3.4942,3.3186,2.534,2.1955,1.3422,1.9325,2.7423,,1.1749,0.96252,0.73279,0.76515,0.22511,0.25124,0.57429,0.29081
ENSG00000162591,MEGF6,,0.54204,0.48342,1.3724,2.1067,5.84,11.7904,19.8535,15.748,,0.15259,0.22769,0.87955,0.68901,2.7076,5.772,6.7284,3.0061
ENSG00000238260,AL513320.1,,0.15011,0.18134,0.36167,0.55197,0.74631,0.44552,0.86523,1.1555,,0.161,0.10967,0.2705,0.24679,0.26351,0.12673,0.026601,0.50544
ENSG00000158109,TPRG1L,,32.9161,30.6602,33.5075,39.5171,45.0067,50.0147,49.0253,67.3793,,1.0899,1.527,3.3427,3.6683,0.87014,1.0692,2.739,2.9291
ENSG00000116213,WRAP73,,59.4864,60.8213,53.9802,50.3924,47.7838,46.5538,49.0933,55.009,,3.2384,6.5598,4.9381,3.1522,4.2203,3.7517,3.9351,2.0735
ENSG00000078900,TP73,,17.2626,16.2174,12.7729,5.8927,2.9966,1.847,1.7312,3.6563,,2.3389,2.1836,1.1794,1.0017,0.52607,0.43386,0.31771,0.13606
ENSG00000227372,TP73-AS1,,12.4971,13.5614,15.7313,21.2048,24.0067,26.5521,26.4657,29.2081,,1.8006,1.0262,2.8349,3.5844,3.2314,3.3402,2.6125,4.2581
ENSG00000130764,LRRC47,,96.7312,98.3319,94.2107,88.9206,81.5259,77.1974,80.7076,94.5111,,5.5691,5.2458,8.6495,3.585,3.7169,3.2638,1.2087,8.5803
ENSG00000116198,CEP104,,53.4518,52.4985,52.7961,57.7166,56.1304,56.8327,57.5587,58.7581,,3.8759,1.8398,1.6096,2.6402,1.3456,0.63562,1.6199,5.3621
ENSG00000169598,DFFB,,11.2321,10.3389,12.1262,12.6305,12.4865,13.96,14.1211,16.0436,,0.94675,1.7038,1.6247,1.4759,1.4018,2.1588,1.0051,2.4852
ENSG00000198912,C1orf174,,33.9418,31.3066,26.5071,20.8252,16.6246,17.2104,17.3339,25.4598,,1.2663,0.45298,1.4084,1.4307,1.5464,2.1109,1.842,0.94274
ENSG00000236423,LINC01134,,0.90692,1.3351,1.2668,1.3648,1.509,1.8784,2.5366,2.2936,,0.15242,0.39822,0.24353,0.3768,0.31778,0.24413,0.60657,0.27171
ENSG00000196581,AJAP1,,21.6634,20.3699,12.8683,5.7086,3.7,3.0919,3.2619,4.5303,,2.0107,0.76224,1.4739,1.1593,1.3093,0.64584,0.27363,0.39635
ENSG00000131697,NPHP4,,22.3333,23.2443,24.8847,24.0233,22.5719,23.4615,24.5527,29.4926,,3.9609,1.514,3.7799,3.5303,1.0375,1.987,0.45592,1.9283
ENSG00000069424,KCNAB2,,20.6589,19.9938,24.4609,27.6323,31.6289,35.0983,37.9507,43.7708,,2.9214,1.3309,1.1565,1.3518,3.0555,2.2134,2.9893,3.5607
ENSG00000116254,CHD5,,0.25891,0.30008,0.20236,0.3185,0.4615,0.43313,0.73035,0.75584,,0.19184,0.23548,0.24006,0.14689,0.092029,0.078735,0.28201,0.14241
ENSG00000116251,RPL22,,265.1107,271.898,280.0682,302.8467,301.2043,294.4677,296.4749,344.8483,,9.9585,12.9733,5.2275,7.225,16.4025,12.6795,2.219,6.7868
ENSG00000226944,AL031847.1,,2.0053,1.5646,0.92965,1.3127,0.6963,0.50269,0.63742,0.6922,,0.5048,0.25523,0.34423,0.50047,0.19877,0.2179,0.29594,0.35825
ENSG00000158286,RNF207,,13.6879,16.4426,17.787,19.2036,20.0281,17.2499,18.034,22.5841,,1.9575,1.4913,1.6286,1.8143,4.7425,2.1376,3.8146,2.1856
ENSG00000116237,ICMT,,192.0742,187.9051,168.9112,133.7875,107.4982,95.4079,101.1546,108.8148,,0.80213,5.1321,10.3849,3.3817,9.6712,4.7248,2.8227,4.4474
ENSG00000225077,LINC00337,,1.1757,1.1704,1.0103,0.98575,0.91292,0.92143,1.0934,0.75133,,0.14261,0.53555,0.29012,0.41273,0.31936,0.42247,0.30675,0.19896
ENSG00000158292,GPR153,,78.5677,73.4755,44.0763,15.7525,9.447,7.1666,9.9146,13.4624,,6.0821,3.4834,2.2843,1.6422,0.50261,0.68577,0.83054,1.9536
ENSG00000097021,ACOT7,,193.1273,185.1085,140.5362,104.0137,81.1733,67.1796,58.7095,55.8955,,7.208,7.6283,4.3613,4.3571,4.5946,3.8507,3.1792,3.5008
ENSG00000069812,HES2,,2.1972,2.2124,1.7258,1.0866,0.87655,0.67388,0.77727,1.5468,,0.33473,0.41235,0.58896,0.61189,0.3479,0.30408,0.2252,0.67498
ENSG00000187017,ESPN,,8.424,8.1327,11.9788,21.3004,27.7781,30.3996,29.406,19.4177,,1.1448,1.6866,1.8945,3.6239,2.55,2.0744,2.4546,1.4288
ENSG00000215788,TNFRSF25,,17.2414,21.0105,14.4194,13.0799,15.4672,17.4703,19.9161,15.3981,,2.0121,1.9771,2.1433,2.1258,4.9641,3.5379,2.5609,0.7829
ENSG00000171680,PLEKHG5,,56.6512,60.6397,45.6068,51.1394,61.2512,69.7681,73.1361,49.4755,,5.5671,3.3829,4.5388,8.2955,11.6313,9.2217,7.3601,4.0367
ENSG00000162408,NOL9,,47.9455,48.6544,45.7709,37.1776,40.2549,38.3008,32.633,41.2986,,1.5133,4.0097,8.113,2.9217,4.9057,5.559,3.3625,2.7376
ENSG00000204859,ZBTB48,,14.5008,15.2169,16.3092,20.5433,21.7583,25.0689,24.6042,21.2375,,1.5263,0.82506,1.2942,3.8893,2.4797,2.5279,2.7315,1.4658
ENSG00000162413,KLHL21,,172.1122,162.2097,126.8486,100.5872,115.9651,139.1901,157.2113,176.2445,,11.1117,7.3617,4.1815,6.9466,7.409,7.1539,5.6579,8.4289
ENSG00000116273,PHF13,,39.5492,39.2358,38.1372,36.1398,37.3812,41.6507,47.8854,46.0906,,1.2292,2.4035,2.2428,1.5548,2.639,2.6368,2.5983,1.9266
ENSG00000041988,THAP3,,13.6291,14.4533,15.6466,16.1901,15.5846,18.6838,18.7399,18.6718,,1.2315,0.60922,2.7848,0.47583,0.93198,1.647,1.2631,1.844
ENSG00000007923,DNAJC11,,132.8034,132.1716,125.675,105.2099,89.5085,83.7839,82.8658,99.244,,3.0118,1.222,4.9836,5.0428,1.5001,1.3885,2.4242,3.0185
ENSG00000237436,CAMTA1-DT,,0.14296,0.33454,0.33293,0.58952,0.56755,0.53745,0.7149,0.75016,,0.17662,0.17833,0.25453,0.12933,0.20714,0.0714,0.1125,0.47091
ENSG00000171735,CAMTA1,,23.9455,24.4448,22.8183,22.3708,21.6905,20.9728,23.1886,22.0373,,2.3604,0.50204,2.1231,1.2438,2.347,0.59075,0.52016,1.134
