,,,Mean RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSEMBL ID,Gene Name,,0,0.5,1,2,3,4,8,,0,0.5,1,2,3,4,8
ENSG00000279457,FO538757.1,,2.3996,2.1653,2.4203,2.5479,1.86,2.7025,2.0095,,0.17445,0.53195,0.50844,0.33978,0.69495,0.78389,0.43267
ENSG00000228463,AP006222.1,,0.20476,0.2984,0.20549,0.18967,0.23016,0.28033,0.45647,,0.04077,0.060708,0.13714,0.074346,0.14286,0.18058,0.41618
ENSG00000237094,AL732372.2,,1.015,0.78064,0.73583,0.88491,0.94402,0.85598,1.0443,,0.30845,0.15897,0.58795,0.38787,0.50452,0.28896,0.34626
ENSG00000230021,AL669831.3,,0.40971,0.50243,0.31761,0.54513,0.31956,0.56878,0.2473,,0.25945,0.3831,0.14159,0.20991,0.075459,0.28523,0.11163
ENSG00000225630,MTND2P28,,158.6562,152.2192,144.0358,145.7747,150.5563,155.5283,153.117,,3.4004,2.6723,14.6751,9.2461,10.5923,12.3591,5.4569
ENSG00000237973,MTCO1P12,,54.1418,52.8827,48.6048,47.7738,49.1651,46.2594,50.5854,,5.3499,1.992,8.5658,7.2153,6.6824,1.1375,8.4712
ENSG00000229344,MTCO2P12,,1.2442,1.3805,1.3088,0.85993,1.0202,0.95223,1.3347,,0.25406,0.14332,0.37411,0.29729,0.53031,0.45655,0.41561
ENSG00000248527,MTATP6P1,,412.9021,397.4355,391.6642,397.4417,399.1251,411.2886,413.0524,,3.5874,9.2702,9.5322,21.3361,20.462,22.4588,8.9003
ENSG00000198744,MTCO3P12,,0.87589,1.1331,0.98409,1.2715,0.8372,1.0344,1.4368,,0.60664,0.33508,0.34289,0.24637,0.27257,0.26786,0.47609
ENSG00000228327,AL669831.1,,3.7626,3.9194,5.174,4.1236,4.5701,4.6446,4.1,,0.45027,0.62817,0.52249,1.1414,0.24062,0.93806,0.76799
ENSG00000237491,AL669831.5,,3.4661,2.0195,2.5921,3.0416,3.2165,2.5789,3.6006,,0.84897,0.45944,0.32924,0.32703,1.2193,0.2397,0.89519
ENSG00000230092,AL669831.4,,1.1051,0.59973,0.61995,0.75641,0.47955,0.40875,0.61371,,0.35316,0.19493,0.12344,0.32261,0.16531,0.13193,0.17107
ENSG00000228794,LINC01128,,18.6152,19.3258,20.6339,18.865,20.4158,17.1549,15.769,,2.5313,1.8612,0.49993,1.6604,2.2037,1.7451,1.4086
ENSG00000225880,LINC00115,,0.73406,0.71458,0.49632,0.81059,1.0713,0.84246,0.8402,,0.36684,0.40174,0.35792,0.46008,0.23342,0.29279,0.36406
ENSG00000272438,AL645608.7,,0.57786,0.69541,0.30531,0.46605,0.38002,0.7177,0.65304,,0.37778,0.4968,0.29086,0.19336,0.23295,0.45601,0.52634
ENSG00000230699,AL645608.3,,4.1737,3.5557,3.7435,3.5587,3.1131,3.608,3.4337,,1.0163,0.85136,0.80665,1.233,1.5504,0.67707,1.0282
ENSG00000223764,AL645608.1,,4.3519,3.6257,4.2429,7.7527,9.6106,11.0551,6.9216,,1.1021,1.125,0.9416,1.7718,3.4317,2.5458,2.1128
ENSG00000187634,SAMD11,,14.1476,14.3854,15.5081,30.1041,38.5718,38.4652,14.6517,,4.6284,2.5662,2.7438,6.8233,6.0021,4.86,1.4322
ENSG00000188976,NOC2L,,144.9922,149.4894,148.35,171.3071,171.687,181.2544,185.6381,,4.7017,6.9381,13.8628,1.918,10.8732,6.231,5.0741
ENSG00000187961,KLHL17,,16.3597,16.7518,16.5632,18.7028,20.5286,21.1061,15.619,,0.85311,1.9797,2.574,1.509,1.0675,0.57925,1.0213
ENSG00000187583,PLEKHN1,,2.875,3.4035,3.5401,4.4834,4.7894,4.3768,3.6792,,1.0922,0.41947,0.95952,0.63414,1.2942,0.76271,0.40455
ENSG00000188290,HES4,,0.22426,0.26965,0.41082,0.30884,0.46004,0.50718,0.11942,,0.23002,0.05839,0.35011,0.14235,0.24716,0.21864,0.1664
ENSG00000187608,ISG15,,10.7461,13.6279,9.1187,9.1009,9.358,9.8776,8.4505,,1.0993,5.9721,1.5444,0.48421,0.88875,1.7793,0.95439
ENSG00000188157,AGRN,,429.2362,444.0677,416.5424,441.5138,441.4004,472.725,430.5397,,16.5112,29.2889,47.8397,31.5282,41.171,27.1893,17.5544
ENSG00000217801,AL390719.1,,4.1308,4.4491,5.8685,7.5455,9.1409,9.7329,5.4377,,0.74493,0.60705,0.45071,1.2327,0.79315,0.84302,0.41439
ENSG00000273443,AL645608.9,,0.73627,0.69379,0.93217,0.9019,0.88567,1.1072,0.64918,,0.24118,0.14862,0.46395,0.49014,0.36268,0.56027,0.16498
ENSG00000131591,C1orf159,,7.6228,8.2744,8.3614,7.6178,7.5442,8.3192,8.9904,,0.88887,0.85161,0.38606,0.64823,1.0766,0.73217,1.835
ENSG00000078808,SDF4,,131.1687,136.1978,134.284,140.9578,142.7369,146.9323,149.7703,,7.4431,7.4617,18.3689,8.4738,7.5017,10.1127,12.6817
ENSG00000176022,B3GALT6,,27.0989,29.0623,28.67,30.3392,28.6794,30.6723,33.2675,,1.0358,1.2854,4.6345,2.8394,3.7069,2.5317,2.505
ENSG00000184163,C1QTNF12,,2.6216,2.5337,2.7674,2.3022,2.9716,2.7655,2.8716,,0.28734,1.018,0.47396,0.29564,0.96624,0.7824,0.70548
ENSG00000260179,AL162741.1,,1.3353,0.62715,1.0568,0.68965,0.79883,1.0234,0.97915,,0.51888,0.2724,0.46365,0.44298,0.19515,0.41727,0.43627
ENSG00000160087,UBE2J2,,54.5067,53.002,57.8293,53.8903,55.8866,57.9615,56.674,,4.854,4.8507,3.1836,2.6626,4.2818,2.9953,1.5098
ENSG00000230415,LINC01786,,0.78667,0.5934,0.64172,0.37728,0.54687,1.1461,1.0728,,0.14298,0.29843,0.29615,0.16874,0.1074,0.40296,0.5577
ENSG00000162572,SCNN1D,,6.6559,6.4718,6.3965,5.0343,4.7696,5.0978,6.0704,,0.90694,0.44974,0.95995,1.075,0.67998,0.70916,1.3637
ENSG00000131584,ACAP3,,83.8116,82.2911,84.7736,90.7913,88.5647,95.4874,78.5151,,3.9753,4.9934,12.2878,3.6889,6.4516,1.957,8.9228
ENSG00000169972,PUSL1,,11.6323,11.6535,11.9105,11.6621,13.2012,12.6328,12.5193,,1.1139,1.3304,0.78508,1.1828,1.5939,1.5328,0.4922
ENSG00000127054,INTS11,,95.1977,86.8083,86.6479,86.8153,88.4793,94.1506,92.1043,,2.9335,2.0866,8.146,7.6708,6.9465,4.5948,7.7366
ENSG00000240731,AL139287.1,,3.0014,2.7202,2.9901,3.1775,2.7758,3.519,4.1262,,0.79152,0.18307,0.31627,0.55065,0.83208,0.58004,0.55729
ENSG00000224051,CPTP,,23.505,21.955,18.9901,20.0878,20.4566,21.915,22.9193,,1.9472,2.1428,2.4308,1.2815,2.5158,2.3694,1.8509
ENSG00000169962,TAS1R3,,1.7169,1.971,1.6243,1.5068,1.5751,1.9624,2.8154,,0.76616,0.44444,0.69099,0.84772,0.56544,0.70912,0.72328
