,,,Mean RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSEMBL ID,Gene Name,,0,0.5,1,2,3,4,8,,0,0.5,1,2,3,4,8
ENSG00000279457,FO538757.1,,2.5952,2.1552,2.1115,2.8153,2.1262,1.9291,2.152,,0.94894,0.41177,0.62214,0.27135,0.24036,0.53421,0.51146
ENSG00000228463,AP006222.1,,0.42308,0.336,0.56545,0.36581,0.19925,0.37122,0.43726,,0.16987,0.26556,0.28017,0.23825,0.10824,0.16298,0.23708
ENSG00000237094,AL732372.2,,0.89237,0.57732,1.0388,0.81893,0.4046,0.80791,0.52802,,0.72327,0.33939,0.2285,0.25507,0.45071,0.36067,0.37717
ENSG00000230021,AL669831.3,,0.26553,0.47759,0.4772,0.61979,0.32855,0.39263,0.39244,,0.27483,0.28468,0.47963,0.092711,0.07378,0.19528,0.27883
ENSG00000225630,MTND2P28,,162.7709,154.6967,160.9724,157.393,166.9121,162.6062,174.8516,,16.983,19.709,17.8194,7.3527,17.9814,12.1399,22.6725
ENSG00000237973,MTCO1P12,,51.9952,51.7508,51.05,54.3413,55.6481,54.0916,52.8412,,10.4804,3.2955,8.0452,3.8074,9.1361,5.9685,7.973
ENSG00000229344,MTCO2P12,,1.4587,1.2544,0.71889,1.1954,1.3418,1.1468,1.545,,0.47402,0.17955,0.23573,0.37158,0.45,0.40536,0.2254
ENSG00000248527,MTATP6P1,,432.8178,414.0344,417.2347,405.7648,432.019,418.655,436.9398,,23.5091,35.7288,23.2182,31.3454,29.2381,9.7791,17.9598
ENSG00000198744,MTCO3P12,,0.80314,0.94343,1.271,1.242,1.0563,1.2141,1.4174,,0.31643,0.36696,0.25958,0.63235,0.35642,0.39167,0.48932
ENSG00000228327,AL669831.1,,3.8876,4.3078,4.4692,4.1002,3.6315,3.771,2.954,,1.0775,1.0373,1.8484,0.95483,0.88174,1.0099,0.65852
ENSG00000237491,AL669831.5,,2.4339,1.9338,2.9562,3.0135,2.3423,2.7712,1.6342,,0.86294,0.4758,0.43394,0.67922,0.5047,0.88015,0.33856
ENSG00000230092,AL669831.4,,0.46798,0.42297,0.60008,0.67246,0.59045,0.5096,0.49809,,0.275,0.37802,0.16843,0.4046,0.2257,0.24562,0.25829
ENSG00000228794,LINC01128,,18.0315,17.6907,18.9581,18.3,17.4965,17.6197,14.8116,,2.6997,2.0815,2.6335,1.4523,3.4442,1.6624,1.6542
ENSG00000225880,LINC00115,,0.7192,0.44921,0.929,0.54709,0.64792,0.72545,0.75771,,0.30722,0.17865,0.20007,0.23483,0.36988,0.31631,0.29681
ENSG00000272438,AL645608.7,,0.80336,0.66042,0.91291,0.67747,0.45353,0.55211,0.78643,,0.33936,0.52955,0.34106,0.14748,0.13863,0.40133,0.56455
ENSG00000230699,AL645608.3,,4.4643,5.0463,4.3725,4.4854,4.2948,4.1849,4.0035,,1.4343,1.3728,1.2932,1.6534,1.3045,0.90707,1.275
ENSG00000223764,AL645608.1,,7.4188,6.7853,7.0843,6.6843,5.5082,6.406,6.0897,,3.0705,2.8055,1.7562,1.0963,1.758,0.80977,2.2533
ENSG00000187634,SAMD11,,27.7678,28.9822,26.2499,27.7992,25.5951,27.528,25.1194,,6.0757,7.4658,3.8808,1.8506,5.5553,7.0718,4.9438
ENSG00000188976,NOC2L,,151.2086,157.0139,155.641,153.1894,154.0885,151.8831,147.0742,,4.1417,6.0467,4.3709,13.026,8.638,7.8721,5.093
ENSG00000187961,KLHL17,,21.2646,19.7106,21.399,20.3278,19.2663,19.3763,18.1389,,2.7192,0.36199,2.1249,1.6738,2.4109,3.3782,1.6874
ENSG00000187583,PLEKHN1,,3.5543,4.8806,5.1553,4.6656,4.408,4.7346,3.0572,,0.11242,0.52002,1.4266,1.3105,0.80871,0.47947,0.53607
ENSG00000188290,HES4,,0.38271,0.61654,0.35097,0.58535,0.42204,0.49523,0.38235,,0.18761,0.09942,0.25955,0.26125,0.2402,0.29194,0.35469
ENSG00000187608,ISG15,,12.8258,13.3232,13.3851,15.0811,15.4617,14.9448,13.4467,,2.2555,0.50661,1.607,0.90366,1.7561,2.4172,0.94623
ENSG00000188157,AGRN,,546.2905,546.1481,526.9146,533.1648,517.6791,533.8421,497.2066,,30.6797,33.8076,41.4024,55.6357,58.4519,22.5738,24.0695
ENSG00000217801,AL390719.1,,10.611,10.3583,12.3011,12.4169,11.3598,11.2105,9.5422,,1.6357,1.1211,1.4092,2.0009,0.75185,1.3954,0.82932
ENSG00000273443,AL645608.9,,2.007,2.4267,2.545,1.8576,2.2566,1.8474,1.8917,,0.10157,1.0503,0.43483,0.50545,0.73243,0.67212,0.29266
ENSG00000131591,C1orf159,,7.799,7.3734,8.2169,8.2515,6.7696,8.2789,6.9952,,1.146,0.47742,0.49676,2.5476,0.74331,1.9851,1.3974
ENSG00000078808,SDF4,,139.0059,137.6193,134.9371,136.9358,135.8006,132.3115,129.962,,7.2486,3.8151,9.2316,17.566,4.9621,5.4046,6.148
ENSG00000176022,B3GALT6,,31.0734,31.6103,31.6338,32.7001,32.5966,33.342,31.4871,,1.3086,2.0199,2.6789,2.0256,2.7061,3.1759,1.4657
ENSG00000184163,C1QTNF12,,2.3678,2.213,2.5495,2.3706,2.0326,2.0997,1.5971,,0.90705,0.76793,0.69184,0.47834,0.46356,0.65363,0.73289
ENSG00000260179,AL162741.1,,0.90804,1.0216,0.66452,1.1357,0.58425,0.90797,0.85079,,0.4214,0.23603,0.42751,0.4102,0.028529,0.23646,0.44543
ENSG00000160087,UBE2J2,,50.9601,52.7106,54.1174,53.2869,53.1701,56.9922,54.8704,,2.9524,1.6991,2.5053,3.6649,2.7558,2.8532,4.9232
ENSG00000230415,LINC01786,,0.88771,0.64923,1.2008,0.69267,0.75527,0.64559,0.57128,,0.39828,0.26522,0.40977,0.20916,0.38518,0.1584,0.17268
ENSG00000162572,SCNN1D,,7.3916,7.3556,7.3482,7.1318,5.9553,7.254,5.2895,,1.0412,1.5522,1.5501,1.0546,0.85173,1.1865,0.60648
ENSG00000131584,ACAP3,,94.3118,95.6311,95.3875,95.6483,86.7042,91.6018,79.4646,,13.1853,8.6405,4.885,5.0991,12.9936,7.1104,4.381
ENSG00000169972,PUSL1,,14.2461,14.1589,14.0914,12.6867,13.0551,13.2665,13.8457,,1.2499,1.6593,1.964,1.1227,0.92247,1.4101,0.76038
ENSG00000127054,INTS11,,89.0196,90.8298,94.9677,96.889,91.9377,88.3171,84.4882,,8.2919,5.6323,4.6551,6.1078,5.4303,7.5835,8.0073
ENSG00000240731,AL139287.1,,3.2417,3.397,2.7985,3.0358,2.6055,3.3586,2.0507,,0.57086,0.40956,0.49525,0.72199,0.38425,0.8344,0.57659
ENSG00000224051,CPTP,,26.6118,26.2851,25.1559,27.2376,27.6165,26.8996,26.8234,,1.397,1.8994,2.8468,2.0614,2.1553,2.5229,1.4154
ENSG00000169962,TAS1R3,,2.5125,1.7228,1.9544,1.8694,1.7333,1.8807,1.4531,,1.0044,0.2755,0.25022,0.90884,0.054372,0.68081,0.3716
