,ARAF,BRAF,CBL,DUSP4,DUSP6,EGFR,ERRFI1,GRB2,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NRAS,PTPN11,RAF1,SHC1,SOS1,SPRY2,SPRY4,mARAF,mBRAF,mCBL,mDUSP4,mDUSP6,mEGFR,mERRFI1,mGRB2,mHRAS,mKRAS,mMAP2K1,mMAP2K2,mMAPK1,mMAPK3,mNRAS,mPTPN11,mRAF1,mSHC1,mSOS1,mSPRY2,mSPRY4
MDAMB468,0.136881696806741,-0.0281120425991512,0.342396311402088,-0.825114232093826,,2.64918974291304,-0.849850383856791,0.225137062974753,0.0003164882414714,,0.0707587618680582,0.0308872255320397,0.0407285340250978,0.303229107800075,0.286694468593657,-0.2449163479357,-0.0629276903718558,,0.473488041065054,,-1.40296013237278,2.8375978357563874,2.1268188034106412,1.5246770919503525,4.296276734415078,1.5857577371560665,2.5839749106664747,2.6907548280156455,3.4634395181255684,3.3645610594252524,2.690089875725217,3.532170086969737,3.46398436976092,2.5634174154065135,2.99014670325938,1.8165122426103557,3.650515373945828,3.9484359342879394,2.4954261255781507,2.024504775798533,-2.789485878507762,4.749253213794608
SH4,0.429609513819349,0.0968078647688565,0.125621089263157,2.15213049178547,,-1.12025885842534,-1.20410325402071,0.283785764226017,-0.145062839386549,,-0.0347208901023208,0.476168927555016,0.586299976087011,0.482112854413239,-0.425941095853692,0.0809119269896413,0.1191525735475,,0.169406537587338,,3.39697988163399,2.5835748215847016,1.3512809846995268,2.0742204353946683,3.7522391557166968,2.839446816710874,1.0875243776826147,2.26417996715899,3.5702057093939845,2.4682435888914607,2.4189537956194918,3.6294372579566696,3.4306073055079453,2.3368029279802207,2.669316302768697,3.3500514448379985,4.042965299227075,3.467465655913852,3.314771287906328,1.9595636571088326,1.9791708287497423,1.3529598900029416
AU565,0.46433850257122,0.144836577696486,-0.197191487355726,0.197647922379376,,-0.508845489900024,-0.448515276237905,-0.406424245535117,0.262257179856471,,-0.573364295574811,-0.725783019071542,0.0646089997185844,0.452670407543192,-0.360783797386509,0.369715313701972,-0.0173668627385406,,0.545872418800495,,-0.508752252945131,2.875145310564873,0.6044853514140588,1.8614316654772376,3.686057977489629,3.3222371434626408,1.8179907348828257,2.0282929736610247,3.0917921722488617,3.315733896977965,1.8434723422468462,3.198248537633465,4.128526963344773,2.9189214211389722,2.227871245026943,3.1278038511668824,3.351334642489751,3.400690586596561,3.338175931412622,1.25478378241768,0.16111494437174587,0.06616220225366877
KMRC1,-0.163616459402329,0.0055382544351213,0.213171994871137,-10.1113958670116,,0.908957571695225,1.78328253206087,-0.0724865908915342,-0.0382165204324451,,0.0270949528303201,-0.013231844460683,0.193385286443786,-0.256881866520162,0.212620758593128,0.356511993970068,-0.313820203428162,,-0.0500301807766363,,-2.35983265404731,2.710400769683394,2.124472267054139,1.9802287566082437,0.4340331284252217,1.0816221027484196,3.904218630363904,2.7749359653081296,3.0139306735889635,2.8241073037482827,1.9520413149855536,3.2979420559436052,2.561859974844977,2.8210395431245074,2.270360410449201,3.658670215384435,3.369276625535726,3.1641746248981137,4.356830614144993,1.617334650960707,-0.5392525335062804,-0.5936349327318006
CAL51,-0.211810283479401,-0.170600917789573,-0.273796647126174,-2.46042029325618,,-0.45599771105294,-0.159987146685138,0.112169891041712,-0.173716526530275,,-0.269920573300441,-0.111564238793209,-0.114272144048224,-0.173134252932693,-0.0751567976314632,0.0662255150705004,0.0842234605240093,,0.0082686137233058,,0.953571774796847,2.4660041172849367,1.9719662915464435,1.8359198850137095,-0.6211521533887975,2.9267358306320905,3.9682010499742337,3.407553803407764,3.229689149571666,2.550444671258655,2.2649174931356755,2.6432912112187466,3.182493958373967,2.252053613614897,2.6192189873955942,2.9345640665218795,3.7556592118034735,2.909836637530215,3.194529852191272,1.9231911590186175,2.4570214462984645,0.9993516493972103
RPMI7951,0.164572681019967,0.0465503065511454,0.0643142910046573,1.18674579502379,,-0.109543502562582,0.54843293003144,-0.132922449066665,0.079907952846172,,0.788913558127019,0.282984768792325,-0.0807905973729345,-0.248665435890572,0.29212259388252,0.153879214783063,0.150913557770994,,-0.146642796430361,,-0.0574684398939459,2.9302653215578416,1.4135495411863421,1.3273799947325409,2.1258156944045243,0.8895195605765595,-1.4246942912077694,1.9117548706124372,3.4386505079127057,2.4834639429200753,2.8986540316486358,3.697601307925806,3.624036886758998,1.1319342279565356,3.1114375967042895,2.597788806844673,3.323797844400652,3.632441369010233,3.4802703885585973,1.4674410745393713,-1.6892227366957557,-0.45865862783348327
RERFLCMS,-0.169849856989406,-0.221313323105538,-0.14535737335002,0.11259600634901,,-0.234624764080978,0.628138200233134,-0.0301929916654211,-0.0281994979480636,,-0.441320413035394,-0.296653030509944,-0.848382341215808,-0.721718006916885,0.346254217386895,-0.452919170605206,-0.178159991468869,,-0.476663444263045,,0.137994173321834,2.3432182696893373,0.8180470535673423,2.323191318886993,1.1336479747479444,1.8130103936406952,3.2796209100168725,3.2585118363885606,3.473700972245685,2.375277778387486,1.7250514853960461,3.2974207961096593,3.1519365575776837,2.6554367374289227,1.6553114464174818,3.315207301153504,3.5534834670703224,3.1327556869706354,4.033123199891456,1.740676678998739,0.8771589747641676,0.25741356843149527
IGR37,-0.314774767439374,-0.0864780683203352,-0.112757993467308,2.27234750766435,,-1.12505053959451,-1.62089460068431,-0.0466519508905326,0.176403221266039,,0.081998801376739,0.303010852506512,0.243807494570741,0.158137032039584,0.182799450141302,-0.338600143266604,0.121142151149638,,-0.266899693232783,,0.410201393847691,2.9451492531779127,1.4875482059361684,2.0671804305291697,4.274139318230963,2.9690186200355675,2.515015462558317,3.99385918079968,3.3609689609421114,3.458692405509265,2.352764767537129,2.886664895964838,4.152169975790487,3.0263972598647846,2.7963052488570974,2.9507558279065167,2.9255887403096437,3.7310069960361867,3.8205281380541796,1.6802616402136856,3.1175914349554263,3.2820421549821397
VMRCRCW,-0.228369150038819,0.210806223637922,-0.148242965017726,-3.46709978206719,,0.34695585431642,2.49340154227777,-0.268891683558272,-0.125716654480231,,0.215373067887093,-0.0294029123782126,0.008417120607907,-0.0182713851837941,-0.111847816861128,-0.0979935576532835,-0.0742382711983583,,-0.357788656918926,,-1.17675104023129,2.164510825693817,1.853725935466492,2.09067570153711,1.3359322120293398,0.8930343873568127,4.274410799917014,3.33240449017787,2.9010973657022325,1.7772006690069238,1.7713033284384418,3.1691728442085325,3.357050421119312,2.7126595616591094,2.2460782315536076,3.5181949237140113,3.653179734979611,2.707730149891285,3.937053122033239,1.807962488446647,0.9758380677440487,0.4392608764112043
HEP3B217,0.0047219352909586,0.132052781017996,-0.538518574230046,-0.775578849234605,,0.173229012254308,-0.113939015686831,0.0620923979375445,0.248541025863257,1.2397493165968,0.0657028792476768,0.327407344291105,0.158397571023651,0.29678946132793,-0.149677096005233,0.368996713519273,0.342352338952495,,-0.130600515439257,0.844208106861122,-1.69318926866164,2.2383985099190085,1.0303655673133287,0.9996203394611592,-2.2634605383099955,2.7735632472360088,0.5187759361128698,4.311246005385543,3.7640031602352093,2.0581336320144006,1.3656910633726562,2.692381417687588,3.4099886251914877,2.864540997861643,2.7035869221415414,3.2734132513641443,3.280723228194281,3.3432963392006423,3.3006511844792197,2.1772837404895395,1.2920166481382156,2.239449320877206
HEPG2,0.363548401313468,-0.473571898451324,-0.560846057620438,-0.912245814517872,,-1.39093400884,0.749458332060777,0.108954282640021,-0.01846246690326,-0.232968507420994,-0.386782708967956,-0.38004956008704,0.372531921648033,0.567445223498906,0.211352270129498,-0.296504223334983,-0.684507574353121,,0.125526946395489,1.08767391510324,0.893339783098609,1.7788937260206015,0.6993976058894583,1.6789247952107118,0.20241825849307696,3.147628986533968,3.749654652828395,4.262372787640671,3.361548310109847,2.6517267327159213,2.549531104733156,2.9707221105498234,3.4764347158464357,2.4441454173105837,1.9351481603255627,3.621983489722662,3.971596722296185,3.4508918986860073,3.2782686294857255,1.2969958251204659,2.843087958589278,2.3284964747785466
SKHEP1,-0.0344273465744625,-0.178410854738053,0.247675138847833,0.390517850978746,,0.79224608174995,-0.232172276190432,-0.183360679730022,0.433530581357048,0.820203215680983,-0.449297393535444,-0.359035858574143,-0.219940622206657,-0.0597695301660414,-0.169760570099728,0.239548361146624,-0.37904271892591,,0.350550917985402,-0.0425265198428275,-0.76902531747309,2.5449350154476855,1.4627946479769187,2.4108922629986216,3.845996444374794,2.8442231018701842,3.1179454814896896,3.694555813062133,3.4839103671223386,3.2598104530450476,1.5165569796185956,3.3498865432610603,4.0540606173716025,2.68749368970681,2.777016405566933,2.857504154270548,3.8041883204249505,3.5884926600817155,4.1940692262612975,2.0008311410979247,2.9781638485680615,2.3388302296611827
WM2664,-0.154183032843864,0.0453351383283193,0.0459142020055123,1.79571852795933,,-1.75700609129881,-0.932801988154406,-0.0845651240437623,-0.309218092071216,-1.2338552103393798,0.328312481534125,0.399104916491004,0.320853978583853,-0.250159156952979,-0.0392837177141574,0.427589510579107,0.020591532656002,,0.146942811537802,0.10592723644065,3.17979848382348,2.3451367907148377,1.6579061200191683,1.9521932262639803,3.5920546278115237,3.6584614828924034,3.4796942798029087,3.51128868945581,3.3036360031437426,3.1911633571016647,1.7021082472754085,3.213967800195614,3.5677000322622194,2.743024732484782,2.094596128651456,3.265022498092215,3.5572262965011863,3.507543411541274,4.842287645867652,1.3368913842190868,3.7647843822034006,3.9060190175104395
KMRC20,-0.113881759161855,0.123024325360798,-0.0997172148094475,-0.2520611547625,,1.78171631655874,-0.0037767411409257,-0.360675495718011,-0.112898230422133,-0.573041935947108,0.31969681650463,-0.62205433138806,-0.0054405361364547,-0.311447907633563,0.447833252850888,-0.372262416071083,-0.22054277878411,,-0.335588979465873,-0.489793719358324,-1.61471354879143,2.383547377726966,0.45663339468256386,0.9624985169519784,-0.7009132586310008,-0.13468405668657127,3.0459594998928767,3.963352799149588,2.657191899810741,2.59446334913973,1.507622217579646,3.2776615805355465,3.3026984565424273,2.4590587868194698,2.0255474998575784,3.6206487920715493,3.4104180734561798,2.6960855762536657,3.9821533630656956,1.2361892369857508,2.140167334848865,-2.3600648525776546
HS294T,0.210625135849546,0.138162474877266,-0.151671255150701,0.478153928946931,,-0.434383462789757,0.464703601907962,-0.498714370631669,-0.0832598422168,-0.0580110336569027,-0.272347596959995,-0.0184273417142706,-0.386991892853174,-0.100681160870539,-0.398192699053593,0.102648467818085,0.0017381479386276,,0.0483097613332978,0.104734950248995,0.91809506872714,2.5962914827518895,0.917214305248936,1.636206417648142,0.22224714966627412,1.9493798370059718,2.6405205443086106,2.763875875387349,3.1247189797176995,3.1523556081349957,1.919501636578967,3.03797246196173,3.3604274691189437,2.6917039934993174,2.5804213541303014,3.0045780341979937,3.4372817714345762,3.416161524965123,4.109216754219788,1.4244688540987336,2.551037652253825,1.893985076190394
CAOV3,0.161512833167141,0.344838451401112,-0.330793002211713,0.158376634998322,,0.428571539014581,-0.494731723383496,0.0776743282186256,-0.135050039944061,-1.083336881942744,0.715682493608847,0.114788135270852,0.19181042628382,0.0584068765296147,0.61102962286493,-0.0159784769364507,0.341741011164446,,-0.102758513484535,-0.723357279199247,-0.39528594539068,2.4313036725916186,1.3659207208268156,1.3548707712421575,0.19430776763174185,1.3384346389550148,1.3070400925465437,2.1060810383487083,3.1501986178396955,2.421221098101867,2.416690262473457,2.6744244734525497,3.060105155974227,2.194533180998372,2.199982991633251,2.6836482129431336,3.4529672291469056,3.093969982142985,3.3320902179298084,1.9120948005605827,1.7265593959797998,1.1549138540367512
CAL120,0.0651572412988179,0.0850951760025778,0.403168320919644,,-0.755729141057204,1.61586028037648,-0.123978661177594,0.805709154657487,0.208663715529124,,0.154815179161516,0.666662031799183,0.291686516208786,0.29913825756777,0.23919975115951,0.0398408048489265,1.17689153593976,,-0.112569068883521,2.05618753959854,,2.4988588634060043,0.7907728593443851,2.25650659892178,4.089077381615694,3.1333745797824677,3.6686920528017284,4.787358400559033,3.4670818715772147,2.6589579913215946,1.8492230216936627,3.1233380191590654,3.566288001527748,4.1793151081319335,2.7248679860283693,3.1369453364573316,3.9113587848825127,3.448055521944648,4.19652201731343,1.7696621110497381,1.8352499003025835,0.76015608528572
JMSU1,-0.518769729632778,-0.267373873090959,0.398971069771352,-0.384127324056543,,0.307178913634845,1.93041091862496,0.0296388803918827,-0.272266472014023,0.525708657579559,-0.60223434728253,-0.0888753779251635,-0.316103810873004,-0.522130089381705,0.20595887246064,-0.29369697717905,0.312273871160397,,-0.481248805076597,0.188844881919383,-0.554487024897693,2.568266925166159,2.1074153506187927,3.2172464982361673,-0.38452195498830993,0.9242628697694267,-3.01509247873327,1.2181803968008462,3.742879831044916,2.4694968598382037,2.485373207599643,3.154921666290899,4.0502550825037575,2.6467845405309958,2.831718109102322,3.286568117635853,3.5803277408861036,4.170450299418469,2.2176707883376436,1.5666264402148347,2.1972534658078327,0.5507307180616794
PATU8988T,-0.0869469808580184,0.30345967287263,0.820628381506815,-0.103065692703857,,0.877888766227735,-0.105157544371743,-0.245110312707885,-0.148308366423444,-0.5350194846534551,-0.327046710170146,-0.0061532243623813,0.150850309294124,0.127167967957531,-0.526350369102844,0.38015428158005,0.316397587207542,,0.250173664078833,-0.226419424104395,-0.135775565029144,2.0856882403684,1.4877447421553764,1.8396110978726785,3.3591732760068567,2.239598433762327,4.151268226288255,3.0020721341001706,3.102692508977572,2.457184243671789,2.2477507998215502,3.450853837159545,3.4867540900231058,2.073418439160535,3.015265256656305,2.9706041911604064,3.4424256936242976,3.4556697839933923,3.8872404387920305,1.7372909637503366,2.141389992729902,1.376269277472802
